Image Id.	Gene Description	EWS-T1	EWS-T2	EWS-T3	EWS-T4	EWS-T6	EWS-T7	EWS-T9	EWS-T11	EWS-T12	EWS-T13	EWS-T14	EWS-T15	EWS-T19	EWS-C8	EWS-C3	EWS-C2	EWS-C4	EWS-C6	EWS-C9	EWS-C7	EWS-C1	EWS-C11	EWS-C10	BL-C5	BL-C6	BL-C7	BL-C8	BL-C1	BL-C2	BL-C3	BL-C4	NB-C1	NB-C2	NB-C3	NB-C6	NB-C12	NB-C7	NB-C4	NB-C5	NB-C10	NB-C11	NB-C9	NB-C8	RMS-C4	RMS-C3	RMS-C9	RMS-C2	RMS-C5	RMS-C6	RMS-C7	RMS-C8	RMS-C10	RMS-C11	RMS-T1	RMS-T4	RMS-T2	RMS-T6	RMS-T7	RMS-T8	RMS-T5	RMS-T3	RMS-T10	RMS-T11	TEST-9	TEST-11	TEST-5	TEST-8	TEST-10	TEST-13	TEST-3	TEST-1	TEST-2	TEST-4	TEST-7	TEST-12	TEST-24	TEST-6	TEST-21	TEST-20	TEST-17	TEST-18	TEST-22	TEST-16	TEST-23	TEST-14	TEST-25	TEST-15	TEST-19
31143	ribosomal protein, large, P0	4.027	2.6131	4.8139	4.9105	4.5104	6.7403	7.7609	6.946	6.6433	3.7253	7.6069	6.7003	6	6.2392	4.0098	3.1453	2.7589	3.0411	3.6694	5.444	4.4809	4.8653	5.6744	4.3938	4.5243	5.8249	5.6817	4.6666	5.2114	4.0503	4.6079	4.0354	3.67	7.2208	5.0586	5.3212	4.6734	3.8197	4.2099	4.17	5.8854	5.5536	6.8372	6.4353	5.5398	13.8884	9.1206	3.6908	3.5395	6.2398	3.0304	7.6119	4.1001	4.8506	4.1698	4.2847	4.5412	12.3446	6.5727	3.9057	6.1921	9.0649	10.212	1.9403	3.2956	4.1996	7.8634	14.1507	4.9384	6.6662	11.0725	10.4594	8.5383	13.3971	9.2724	5.8539	3.0117	3.6943	4.2824	6.539	16.8467	10.0017	6.5742	9.12	6.4102	7.7087	14.3407	9.1304
31169	capping protein (actin filament) muscle Z-line, alpha 2	1.0643	0.8541	0.4257	1.5866	0.6461	0.5342	0.5833	0.3676	0.7352	1.0554	0.6903	0.39	0.6652	0.26	0.5882	1.4633	1.086	0.6746	0.6574	0.6855	1.4823	0.4173	0.2298	0.5792	0.781	0.8217	0.8692	1.3787	1.1707	1.1413	1.3329	1.112	0.8421	1.0227	0.6836	0.6388	0.6405	0.8967	1.0187	0.9561	1.4018	0.9773	1.0464	0.5903	0.6557	0.1645	0.4667	0.6724	0.7535	0.9712	1.6819	0.672	1.2876	1.6389	1.1609	1.2851	0.6906	1.1853	1.1547	0.6986	0.6941	0.9132	0.2497	1.3612	1.0344	1.5528	0.7915	0.4207	2.9907	0.189	1.221	0.3027	1.1749	0.1977	0.4616	0.6936	0.5045	1.0466	0.607	0.6482	0.426	0.9768	1.2526	1.5159	0.8444	1.6734	1.0939	0.4577
27549	heterogeneous nuclear ribonucleoprotein A1	4.0651	4.7284	4.712	9.4802	3.6433	4.4317	3.7162	5.4842	4.8613	2.907	6.3467	9.1112	5.3163	3.5546	5.0274	4.7423	2.8508	3.2765	4.0182	6.2066	5.0831	4.2936	3.0927	4.1207	5.1979	4.6583	6.1956	4.8565	5.3438	4.2831	5.267	4.1241	4.3347	8.1078	5.307	4.6663	4.4612	4.018	4.355	4.3171	6.2662	5.8861	5.7972	7.9532	3.401	2.1182	2.8153	4.9389	3.2013	4.8309	4.0325	7.4534	4.0388	5.7691	5.7085	4.7374	7.6715	0.743	5.6365	5.7215	4.9234	8.0781	10.841	2.1857	4.0892	4.4715	8.9656	3.0975	4.3241	3.2433	8.6565	4.557	10.4958	2.8479	5.7224	7.2306	7.5063	2.8828	1.4337	10.5223	10.3516	5.3634	5.581	6.935	5.6054	6.6021	7.6998	6.7312
27624	coatomer protein complex, subunit alpha	1.473	2.4784	2.7548	0.1667	1.7957	2.1063	2.3545	2.2406	1.8954	2.4842	2.5493	2.0127	4.2049	0.7175	0.8122	1.0082	2.6433	1.519	1.3479	1.4119	2.2664	0.9225	0.9711	1.9109	1.5108	1.2601	0.5194	0.7753	1.1817	1.9174	1.0445	1.0167	1.0457	0.8615	0.8863	1.6088	2.3634	1.3335	1.6561	1.469	1.3273	1.4239	1.6895	2.6238	1.1282	1.9386	1.7933	1.3746	1.8541	1.3126	1.2541	1.1213	3.4146	0.8221	2.9653	2.4743	2.1392	1.9496	3.4573	1.7486	3.3361	2.7369	3.0672	2.3717	2.0508	1.4605	1.3517	0.9741	1.6786	0.9366	1.6728	1.6991	2.6859	1.5376	2.0692	0.9866	1.3693	2.4635	2.9469	4.3739	1.0606	1.6592	1.7379	2.1031	2.1457	2.415	2.841	1.113
27848	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	2.7932	1.5103	1.9162	1.1314	1.0375	1.2143	1.2411	1.2919	1.305	1.0325	1.3236	1.2615	1.3608	0.7993	1.0825	1.172	0.843	0.6794	0.6864	0.6724	1.0106	0.8511	0.7828	0.6045	0.5331	0.4699	0.5765	0.9937	1.4263	1.926	2.5944	1.5999	1.7363	0.8879	0.445	0.5874	0.6386	0.5451	0.4014	0.6193	0.5972	0.4883	0.7407	0.8047	1.0641	0.5851	0.556	0.5633	0.4074	0.7594	1.671	0.2976	1.3867	2.3174	1.7345	2.2183	1.3643	0.9684	1.631	1.1167	2.352	0.7527	0.4168	1.5888	0.9285	1.8162	0.4465	0.3225	0.91	1.2587	0.6072	0.2812	0.4372	0.4779	0.7074	1.9234	1.0114	1.0239	1.116	0.3534	0.6469	0.6517	0.3188	0.8836	0.7782	0.9264	0.4352	0.6537
28410	Human AMP deaminase isoform L (AMPD2) mRNA, exons 6-18, partial cds	0.4815	0.8961	1.271	2.6361	0.3976	0.447	0.4862	0.5527	0.3385	0.5337	0.3137	0.6129	0.9559	0.8634	0.5843	0.7602	0.9571	1.0906	1.0555	0.4735	0.5796	1.7731	1.2362	0.3801	0.4887	0.3888	0.4765	0.292	0.529	0.7066	0.6452	0.7221	0.9662	0.6305	0.4121	0.4674	0.6779	0.6177	0.7268	0.8007	0.7646	0.5687	0.4621	0.1098	0.3795	0.3009	0.8787	0.4801	0.4198	0.4759	1.5859	0.1707	1.5418	0.5641	1.1029	0.2268	0.6774	1.578	1.802	0.3983	0.8284	0.9859	0.5492	0.3136	0.4244	0.941	0.6234	0.9427	0.2205	2.1336	1.3921	1.1016	0.646	0.5848	0.2793	0.4633	0.6296	0.5293	0.5285	0.3105	0.6475	1.0806	1.13	0.8237	1.409	1.3897	0.5787	0.7547
29054	ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)	1.4482	0.485	1.1331	0.8405	0.8846	0.6145	1.3077	1.0709	0.9324	1.2379	0.6509	1.0615	0.9589	1.7721	1.0044	1.3846	0.6535	1.1475	1.1801	1.0372	1.2051	2.1763	1.234	0.8015	0.901	0.6565	0.6765	0.578	0.8016	0.7644	0.6444	1.3726	1.5	1.0087	0.9492	1.2373	1.0508	1.9175	1.4851	2.341	1.609	1.2547	1.3793	1.103	0.5148	0.5006	0.9796	0.8926	1.0663	1.6876	1.735	1.0015	1.2251	1.3316	1.1838	1.171	0.4307	0.313	1.3791	0.4677	0.5483	1.1421	0.5605	2.9107	0.8724	0.8558	1.5958	0.7053	2.0263	1.9706	0.967	1.3856	0.8126	1.0824	0.8698	0.6593	0.6826	1.2276	0.7514	0.9972	0.9758	0.9765	3.4933	1.7105	2.5297	2.4296	0.4017	1.1058
34945	Tu translation elongation factor, mitochondrial	3.3214	2.3431	2.4818	0.9928	1.5156	1.5285	2.9401	2.7325	2.4357	1.2878	1.3291	1.6972	1.5706	2.0077	4.3593	5.1954	1.5728	3.15	3.6222	1.3927	3.5421	4.6796	3.1611	1.4196	1.6072	2.74	2.5685	3.7927	3.2335	3.7342	2.9152	2.4937	2.3828	2.419	1.9411	1.2486	2.0868	1.805	0.5085	3.294	3.6608	1.6451	3.1514	3.0199	2.4869	1.845	2.4325	1.2052	3.4737	1.3011	2.8801	1.145	1.8263	2.6872	2.5574	2.6622	1.2983	1.2249	1.5262	1.8998	1.3724	0.5216	1.4822	3.7279	3.3105	2.9127	0.5582	0.4827	0.5197	2.1234	4.735	4.4937	3.5852	4.3573	1.9371	1.4659	0.7752	1.277	1.7634	3.1832	0.6984	0.5157	1.0969	1.3257	1.4778	1.0677	0.5105	0.5155
35483	small nuclear ribonucleoprotein polypeptide A	0.7022	0.2531	2.035	0.1239	1.2582	0.9491	0.708	0.4951	0.4265	0.1985	0.3978	0.3048	0.5	1.9081	0.4048	0.2728	0.5065	3.3317	3.4498	1.3849	0.3512	3.2026	2.7511	0.9754	1.9857	2.039	0.8393	0.6224	0.6434	0.6789	0.5637	0.4455	0.3966	0.3099	2.3	1.4983	1.7824	2.7017	1.3337	0.9895	1.557	1.1422	1.4256	0.4394	1.9404	2.1953	2.6522	2.2443	1.7016	1.67	0.3447	1.5526	0.4181	0.3421	0.2425	0.4382	0.407	0.3927	0.2285	0.3859	0.5957	0.2473	0.1276	0.3505	0.2917	0.292	0.1685	0.1177	0.0992	1.6768	0.0909	0.0824	0.1151	0.0781	0.0854	0.4033	0.331	0.1969	0.3863	0.2104	0.301	0.1275	0.1658	0.1663	0.1966	0.2221	0.1136	0.1253
32875	Death associated protein 3	1.726	1.7841	1.734	0.5216	1.0114	0.9765	1.0193	1.1589	0.685	1.0827	0.6846	0.8675	1.1626	0.2412	2.0011	3.4896	1.4827	1.8798	1.7575	0.3705	1.9971	1.2188	0.3628	0.8591	1.2435	1.0625	0.5903	1.9728	1.359	2.9831	2.2961	0.9806	1.6151	1.2557	1.0713	0.7094	1.6344	0.6257	0.1476	0.7174	0.9102	1.2966	1.5766	1.6295	1.0193	1.9034	1.4375	0.3969	1.5096	0.1985	1.336	0.3846	1.8588	1.7664	1.9982	1.4495	1.3192	0.9855	0.9477	0.538	0.9524	1.0146	1.9473	1.76	3.0101	2.7351	0.6951	0.707	1.022	0.2675	2.1186	2.0274	1.9181	1.2981	0.6607	0.7336	0.5243	1.0737	0.4484	1.923	1.5705	1.4813	0.5178	0.4493	0.7276	0.7246	0.763	0.2884
32898	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	1.5136	1.0886	2.6863	0.9867	1.5428	1.6212	0.8198	1.9411	2.0935	3.3588	1.8692	0.9077	1.7527	0.5137	1.3777	1.7315	2.0437	1.7372	1.6892	0.8955	2.4902	1.9847	1.2953	0.8364	0.8401	1.0302	0.4571	1.4035	2.1439	1.2505	0.5898	1.1954	1.8705	1.0043	2.1254	0.5439	2.5418	1.2348	1.0897	0.9616	1.8994	1.5115	0.6404	2.1767	1.9265	3.0097	2.486	1.1801	2.1185	1.6244	1.0682	2.0073	1.6469	2.1549	1.3501	4.3359	0.9974	2.2509	1.7639	0.9687	2.2775	1.0272	1.4855	2.5626	2.1741	1.4814	0.7064	0.5077	2.002	0.5506	1.0487	2.6849	1.5358	2.8002	2.0318	1.527	0.8224	3.3309	3.6302	1.787	1.06	1.0946	1.7627	1.0609	0.87	1.395	0.7936	1.725
33525	eukaryotic translation elongation factor 1 gamma	3.9255	5.9544	5.5842	4.817	5.1313	6.1093	7.4448	7.6172	7.6333	6.9399	8.2919	6.1868	9.342	5.97	4.8157	5.4643	3.0518	3.3953	4.3226	5.918	6.7607	4.9617	6.4056	5.3582	4.2545	6.3473	6.3606	5.0796	6.8391	4.3359	5.2832	4.2505	4.3193	4.6162	4.9581	5.777	4.4498	4.5986	3.4551	3.6428	5.5538	4.1843	6.1104	6.0081	6.0325	7.0535	8.4107	5.8921	3.6759	5.2299	3.7892	6.1289	4.6345	6.1975	7.2615	4.6854	8.2867	12.9466	11.3447	6.7251	6.3483	3.1654	11.9911	9.3218	5.4105	4.8466	5.0801	3.2983	2.1652	6.8246	9.6734	8.8523	13.6498	6.3397	2.2653	10.8351	2.6772	6.8822	4.0654	9.6067	3.8792	2.6753	2.9788	3.5509	2.7019	2.7342	6.8051	4.0483
33632	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	0.5296	0.5337	1.1332	0.6451	0.6248	0.699	0.3091	0.9658	0.6759	0.5398	0.6582	0.2604	0.9274	0.0419	0.3351	0.4332	1.3326	0.2014	0.1916	0.1995	0.7003	0.1891	0.1172	0.3915	0.4413	0.2791	0.1034	0.5852	0.5418	0.405	0.3291	0.7832	0.4295	0.3974	0.5849	0.2311	0.4898	0.9912	0.5956	0.3154	0.3227	0.5016	0.2296	0.4237	0.6447	0.2785	0.3379	0.5712	0.334	0.3336	0.4899	0.4066	0.9738	0.6019	0.3919	0.9601	0.645	0.6419	0.5917	0.3642	1.0977	0.5903	0.3664	1.2347	0.2681	0.5526	0.4739	0.2293	0.6627	0.6736	0.3606	0.1625	0.3275	0.1269	0.1996	0.5462	0.6424	0.5353	0.4784	0.5122	0.1888	0.5601	1.0001	0.465	0.6104	0.8325	0.1812	0.3322
34357	actin, beta	3.9098	2.7007	4.6055	2.0627	4.4183	3.5734	3.1707	3.9907	3.4926	5.3591	4.2006	3.2365	5.6308	5.32	1.7038	0.8888	1.7724	2.7069	3.3058	4.2012	2.0904	4.2684	5.8906	3.4114	3.9238	5.0894	4.3511	4.7345	6.562	3.6138	4.3179	3.5269	3.77	7.1226	5.9042	5.1366	4.9392	3.7895	3.474	3.7334	5.2479	5.1894	6.29	5.0315	6.0015	11.7202	9.7974	3.2798	2.2394	5.7528	2.0382	6.0772	3.2043	1.9279	3.1693	3.009	4.0531	2.5126	4.8896	4.6571	3.8648	1.3644	0.51	2.4604	5.0679	1.7417	1.4495	0.793	0.6123	5.9164	0.6876	1.0551	0.5989	0.5205	0.4738	2.1785	2.1116	5.3145	5.3248	0.9423	1.9767	0.6203	1.2132	0.8968	1.0388	2.122	1.3703	1.0985
34355	calmodulin 2 (phosphorylase kinase, delta)	3.7136	3.2339	2.2437	3.19	2.1173	0.8715	1.7832	2.3904	3.0444	3.8499	1.6489	2.3912	3.7294	0.6788	4.4972	5.0532	2.5309	2.0158	1.8165	2.7482	4.2106	1.4842	0.8622	4.1731	2.5854	4.0399	4.4925	4.8857	3.6949	3.7881	3.9674	4.1694	4.2734	7.9529	4.0646	2.9449	4.6434	3.3561	3.3252	4.0716	5.3606	5.431	5.6794	7.4927	1.1497	0.9208	2.2315	2.154	4.0499	1.8233	2.736	2.9153	3.6004	4.8529	2.4749	4.1282	3.5135	1.1037	2.5536	2.6641	3.2756	0.1948	0.8435	1.6341	2.1997	2.0881	0.886	0.3376	0.1093	0.8557	1.2521	0.6877	1.1011	0.4688	0.2735	2.3904	1.5009	3.8178	1.8351	1.3888	0.2715	0.3583	1.0394	0.8395	0.8264	1.2099	0.1768	0.1263
34396	Human 90-kDa heat-shock protein gene, cDNA, complete cds	4.0016	3.4448	3.8154	3.4317	5.5302	6.1422	4.3681	5.6173	5.4256	6.2108	5.5198	3.5303	6.2835	2.8587	4.4969	2.978	2.9149	3.0943	3.8413	5.0193	4.4316	4.2161	4.9683	4.2235	4.3603	4.9979	3.9321	5.2727	4.5158	4.1156	4.3011	4.1672	3.7113	5.9834	5.2695	5.1551	4.1969	4.6378	4.3454	3.5826	4.8798	4.759	6.0782	10.6466	5.9465	4.3302	8.4892	5.2107	4.1247	5.4517	3.1289	5.9626	4.2197	4.6906	6.8222	4.3518	7.3526	9.181	7.1704	5.0751	4.7895	8.3728	9.0451	8.2603	3.9288	3.919	6.7279	4.4077	12.3566	3.1997	14.6187	11.1453	11.9312	10.9542	7.8334	4.6542	2.0562	6.1591	4.7571	16.7242	13.2388	5.4622	8.6215	9.029	6.8459	8.9577	5.7464	9.8987
36950	phosphofructokinase, liver	1.1819	2.8296	1.6393	0.1925	1.8151	1.6401	1.3383	1.3576	1.6943	1.6905	1.7245	1.1523	2.6411	0.3045	0.8774	0.641	1.372	2.1997	2.0878	0.5264	1.0551	2.4285	1.3442	0.7628	2.6114	0.5048	0.2965	1.06	0.9539	1.274	0.5826	0.5528	0.4858	0.2875	0.4388	0.2302	0.7034	0.79	0.493	0.2619	0.5497	0.1618	0.404	1.1414	1.7804	0.9095	0.7902	1.0033	1.0395	0.4346	0.4258	0.3218	1.2199	1.1861	1.7238	1.9674	1.3057	0.9779	1.6024	0.7179	3.5896	0.5307	0.757	0.5274	2.02	0.5844	0.5141	0.4054	0.3511	0.2092	0.0572	0.0795	0.1803	0.3708	0.3845	0.6598	1.3568	1.6764	3.7736	0.3482	0.2902	0.5631	0.6687	0.6549	1.1098	0.4118	0.4665	0.9765
39285	glutamate dehydrogenase 1	2.1459	0.9659	1.9209	0.9634	0.7825	1.0046	1.9139	1.3757	1.2084	0.8688	0.7024	0.7416	0.8799	0.6398	2.764	3.784	0.9148	1.338	1.2572	1.0083	3.5436	1.0796	0.3297	1.1378	0.8914	1.2871	2.6098	2.5376	2.1077	2.9943	1.6675	0.8665	2.0983	1.3758	1.9627	0.9464	1.8702	1.422	0.5411	1.0029	1.2214	1.0193	1.7192	1.2776	0.7386	0.4934	1.1693	1.0155	0.8558	0.991	1.0418	1.0469	0.972	1.9833	2.0052	2.3535	0.9421	1.0933	0.9838	0.3831	1.6117	0.626	0.7652	0.7296	1.2535	1.1205	0.8316	0.7607	0.6092	0.5447	2.4192	0.7877	0.7856	1.2515	1.4012	0.9918	0.6047	0.8615	1.0601	0.6011	1.1061	0.7954	1.5076	0.7482	1.1617	0.8783	0.4741	0.5684
